question_id,selected_answer,correct,prompt_delay_used
1729042110634,images/animal3.jpeg,True,1.5
1729042125758,images/animal3.jpeg,True,5
1729042149295,images/animal3.jpeg,True,1.5
1729042294031,images/animal3.jpeg,True,3
1729044342835,images/animal3.jpeg,True,0
1729044343535,images/animal3.jpeg,True,0
1729044345273,Images/vehicle5.jpeg,False,0
1729044345703,Images/vehicle5.jpeg,False,0
1729044346186,Images/vehicle5.jpeg,False,0
1729044346475,Images/vehicle5.jpeg,False,0
1729044347080,Images/vehicle5.jpeg,False,0
1729044347224,Images/vehicle5.jpeg,False,0
1729044347891,Images/vehicle5.jpeg,False,0
1729044348379,Images/vehicle5.jpeg,False,0
1729044349332,images/animal3.jpeg,True,0
1729044349492,images/animal3.jpeg,True,0
1729044350084,images/animal3.jpeg,True,0
1729044350340,images/animal3.jpeg,True,0
1729044351479,Images/vehicle5.jpeg,False,0
1729044351812,Images/vehicle5.jpeg,False,0
1729044352539,images/animal27.jpeg,False,0
1729044352957,images/animal27.jpeg,False,0
1729044354860,Images/animal12.jpeg,False,0
1729044355173,Images/animal12.jpeg,False,0
1729044444676,Images/animal12.jpeg,False,0
1729044445066,Images/animal12.jpeg,False,0
1729044446605,images/animal27.jpeg,False,0
1729044446941,images/animal27.jpeg,False,0
1729044460088,Images/plant5.jpeg,False,0
1729044460495,Images/plant5.jpeg,False,0
1729044460934,Images/plant5.jpeg,False,0
1729044461120,Images/plant5.jpeg,False,0
1729044461272,Images/plant5.jpeg,False,0
1729044462465,images/vehicle1.jpeg,False,0
1729044462721,images/vehicle1.jpeg,False,0
1729044462881,images/vehicle1.jpeg,False,0
1729044464473,Images/animal9.jpeg,False,0
1729044465283,Images/vehicle3.jpeg,False,0
1729044466041,images/animal3.jpeg,True,0
1729044466176,images/animal3.jpeg,True,0
1729044466770,images/animal3.jpeg,True,0
1729044467643,images/vehicle10.jpeg,False,0
1729044468435,Images/kitchen3.jpeg,False,0
1729044469346,Images/animal21.jpeg,False,0
1729044470635,Images/vehicle8.jpeg,False,0
1729044471297,Images/animal21.jpeg,False,0
